Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Merry Go Round,"Hotel Pushp Villa,Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental,  Oriental ",3.9,43,2100
Shree Nav Durga Sandwiches,"Aastha Corporate Capital,Vesu, South Surat", South Surat,Surat,Fast Food,3.3,5,500
Brother's Cafe,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food",4.6,3,500
Hola,"Southern Avenue, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Continental,  Italian,  Asian",4.1,261,1400
The Mafia,"Viman Nagar, East Pune", East Pune,Pune,"North Indian,  Asian,  Italian,  Continental",3.8,172,1900
Kanti Sweets,"PGR Tower,HSR Layout, South Bangalore", South Bangalore,Bangalore,"Mithai,  Desserts",5.0,4,500
Exotica,"Business Square,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai,  Oriental ",4.4,162,2600
PizzaExpress,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Italian,  European",4.5,287,2200
Punjab Grill,"The Capital Building,Bandra Kurla Complex, Bandra", Bandra,Mumbai,"North Indian,  Mughlai",4.3,197,3000
Brix,"Industrial Area, South Ludhiana", South Ludhiana,Ludhiana,"Fast Food,  Italian",4.4,2,900
Arogo,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur", East Jaipur,Jaipur,"North Indian,  South Indian,  Seafood",4.2,4,1400
High Steak,"Ramdaspeth, West Nagpur", West Nagpur,Nagpur,North Indian,5.0,1,800
Ching Singh,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Asian,  North Indian,  Chinese,  Thai,  Oriental ",4.1,212,1500
Spice Roots By Hotel Rigal Blu,"Hotel Rigal Blu,Sector 32, East Ludhiana", East Ludhiana,Ludhiana,"North Indian,  Chinese,  Continental",3.6,10,1600
The White Fresco,"Sajjan Nagar, South Udaipur", South Udaipur,Udaipur,"North Indian,  Chinese,  Continental",3.4,9,700
Marigold,"Golden Tulip,Mirza Ismail Road, West Jaipur", West Jaipur,Jaipur,"North Indian,  Continental,  Oriental ",3.8,6,2000
ABs - Absolute Barbecues,"Dharampeth, West Nagpur", West Nagpur,Nagpur,"North Indian,  Barbecue,  Seafood",4.6,137,1200
Palm Jumeira,"Thousand Lights, Central Chennai", Central Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Arabian",4.4,48,800
New Matsya Sagar,"Porvorim, North Goa", North Goa,Goa,"North Indian,  Goan,  Chinese,  Seafood",4.7,3,700
Krystal Bar,"Hilton Hotel,Bais Godam, Central Jaipur", Central Jaipur,Jaipur,Finger Food,2.5,6,3200
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800
Global Punjab,"Riddhi Siddhi Heights,Wakad, West Pune", West Pune,Pune,"North Indian,  Chinese,  Mughlai",3.8,95,1200
"Haiku,The Asian Kitchen","Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Asian,  Thai,  Japanese,  Indonesian",4.4,275,1500
Taco Bell,"Select Citywalk Mall,Saket, South Delhi", South Delhi,Delhi,"Mexican,  Tex Mex",4.4,19,500
Cottage Grill,"Dadar West, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Mughlai",4.3,71,1200
